,ticker,mutual_holders,inst_holders,avg_vol,beta,mcap
0,BRQS,0.0001,0.001,6237266,1.447878,30400152.0
1,LRMR,0.0579,0.7478000000000001,32160,1.630196,34712384.0
2,SES,0.0142999999999999,0.2638,497020,,1662780544.0
3,ESGRO,0.1715,0.0,20000,0.596424,3379332352.0
4,WYNN,0.2096,0.3859999999999999,3429300,2.186036,6547383808.0
5,AACI,0.0065,0.4709000000000001,82500,,204570528.0
6,IOAC,0.0065,0.1246,21010,,322063296.0
7,RUSHA,0.2264,0.5689000000000001,175280,1.214705,2701589504.0
8,LPTX,0.0505,0.3383,762020,0.563725,118346784.0
9,PIM,0.0196,0.3218000000000001,68900,0.364705,177105984.0
10,AUY,0.3485,0.6101000000000002,16642470,1.417457,4603890688.0
11,IIVI,0.2326,0.5412,3444460,1.442156,5169017856.0
12,MFA,0.2121,0.4567,1605920,1.646078,4964838400.0
13,LW,0.1506,0.4555,1597390,0.684803,10946336768.0
14,GOED,0.0543,0.2678,1140740,,130856016.0
15,XBIO,0.0561999999999999,0.2172,32580,2.533823,10711739.0
16,EXR,0.1788,0.5209999999999999,491760,0.42549,23175366656.0
17,REE,0.0227999999999999,0.2659,1155840,,366611296.0
18,NRBO,0.0218999999999999,0.0630999999999999,66800,-0.709145,14706039.0
19,THRX,0.1533999999999999,1.5989,171220,,264725792.0
20,BBW,0.1056999999999999,0.413,594290,1.940196,252427792.0
21,BA,0.1102,0.331,8776880,1.405882,81731305472.0
22,PING,0.1469,0.4633,969000,1.130563,1698398464.0
23,SRT,0.0490999999999999,0.1118999999999999,226730,1.383524,107315576.0
24,SRCE,0.0975,0.5811999999999999,57140,1.055392,1115143552.0
25,SLGG,0.0523,0.1001,91570,1.138721,35420516.0
26,PKE,0.2835000000000001,0.5499999999999999,72580,0.673529,246930464.0
27,ICCH,0.0096,0.2272,2790,0.279411,55318868.0
28,PTEN,0.3054,0.5709,4990660,2.627941,3054590464.0
29,FULC,0.1592,0.6310000000000001,524450,1.950039,240454384.0
30,ENIC,0.0052,0.0208,473900,0.713271,1535496320.0
31,LLAP,0.0265,1.3657999999999997,608780,,
32,WST,0.1856,1.0071,431480,1.054411,23592902656.0
33,IGA,0.0141999999999999,0.1905,41240,0.85196,149490592.0
34,BYM,0.0109,0.1856999999999999,68700,0.291176,336738976.0
35,BMAQU,0.0034999999999999,0.0915999999999999,1560,,
36,PEGA,0.0812,0.2905999999999999,513520,1.147058,4096016128.0
37,DDOG,0.1275,0.3494999999999999,4565590,1.0727,33788213248.0
38,GSQB,0.0235999999999999,0.5718,36300,,176812992.0
39,ARC,0.0973,0.3463,122360,1.334803,111692968.0
40,AMYT,0.0208,1.1563,97170,0.358439,449019552.0
41,BTZ,0.0432,0.2366999999999999,209700,0.609803,1011442752.0
42,IS,0.4407999999999999,1.5288999999999997,4078480,,2527922688.0
43,COCP,0.1423,0.4801999999999999,162300,0.734803,40751704.0
44,WHLRD,0.1145,1.7710000000000004,4760,3.031862,12133329.0
45,FMTX,0.1349,0.6746999999999999,509270,,433222272.0
46,ARCH,0.2033999999999999,0.5820000000000001,604970,0.848039,2125874688.0
47,PEBK,0.0534,0.2625,5190,0.791666,152862384.0
48,ZYXI,0.2563,0.5210999999999999,275350,0.914705,314375392.0
49,EIGR,0.1613,0.4177,451210,1.539705,292531616.0
50,BNL,0.1938,0.509,807500,,3431761920.0
51,BHFAN,0.3693,0.0002,112550,1.472072,
52,FGMCU,0.0353,0.1263999999999999,3860,,
53,XIN,0.0008,0.0559,38710,1.338725,53945100.0
54,IBP,0.2212,0.5018999999999999,199530,1.861764,2676024576.0
55,TALO,0.1443,0.6326999999999999,1942870,2.705179,1173361920.0
56,SSAAU,0.0005,0.1317,5760,,
57,PWR,0.1473999999999999,0.4209999999999999,1327150,1.171078,18802743296.0
58,BTA,0.0213,0.1351,37470,0.504411,152935808.0
